,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
401,11,-,-,9,2,-,-,-,-,-,-,-,-,-,-
402,12.4,0.3,0.2,9.7,2.2,0.6,-,0.6,-,-,-,-,-,-,-
403,7.5,0.3,0.1,5.5,1.5,0.3,-,0.3,-,-,-,-,-,-,-
404,12.9,0.4,0.6,9.9,2,0.5,-,0.5,0.1,-,-,-,-,-,0.1
405,4.8,-,-,3.4,1.4,0.3,-,0.3,0.1,-,-,-,-,-,0.1
406,11.5,0.3,-,9.7,1.5,0.2,-,0.2,0.1,-,-,-,-,-,0.1
407,16.4,0.2,0.4,13.9,1.9,0.5,-,0.5,0.1,-,-,-,-,-,0.1
408,12,0.5,1.3,7.5,2.8,-,-,-,-,-,-,-,-,-,-
409,9,1,-,8,-,-,-,-,-,-,-,-,-,-,-
410,52.9,1.1,2.4,47,2.4,0.2,-,0.2,0.1,-,-,-,-,-,0.1
411,13.8,0.5,0.6,10.9,1.8,0.3,-,0.3,-,-,-,-,-,-,-
412,32.1,1.9,2.1,23.2,4.9,0.5,-,0.5,-,-,-,-,-,-,-
413,18.7,0.8,0.4,15.9,1.7,0.2,-,0.2,-,-,-,-,-,-,-
414,12.2,0.2,0.2,6.2,5.6,0.8,-,0.8,-,-,-,-,-,-,-
415,6.8,-,0.5,5.5,0.8,0.3,-,0.3,-,-,-,-,-,-,-
416,17.8,0.1,0.8,15.2,1.7,0.4,0.1,0.4,0.1,0.1,-,-,-,-,-
417,10.1,0.7,0.4,6.9,2.1,0.6,0.1,0.6,-,-,-,-,-,-,-
418,16,-,0.5,15,0.5,0.5,0.5,-,-,-,-,-,-,-,-
419,6,-,1,3,2,-,-,-,-,-,-,-,-,-,-
420,4.1,-,0.3,3.2,0.6,0.4,-,0.4,-,-,-,-,-,-,-
421,15,0.3,-,13,1.8,0.8,-,0.8,-,-,-,-,-,-,-
422,18.4,0.8,0.3,15.9,1.5,0.1,-,0.1,-,-,-,-,-,-,-
423,10.2,0.1,0.3,8.4,1.4,0.7,-,0.7,-,-,-,-,-,-,-
424,4,-,0.3,2.5,1.3,0.5,-,0.5,-,-,-,-,-,-,-
425,48.6,2.3,1.3,41.6,3.4,0.5,-,0.4,-,-,-,-,-,-,-
426,10.5,0.3,0.5,7.8,1.9,-,-,-,-,-,-,-,-,-,-
427,8.5,-,0.5,6.4,1.6,0.4,0.1,0.3,-,-,-,-,-,-,-
428,4.7,0.3,-,3.3,1,-,-,-,-,-,-,-,-,-,-
429,20.1,0.5,1,16.5,2.1,0.2,-,0.2,0.1,-,-,-,-,-,-
430,5.4,-,0.1,4.4,1,0.1,-,0.1,-,-,-,-,-,-,-
431,28,3,3,22,-,-,-,-,-,-,-,-,-,-,-
432,7,0.1,0.1,4.7,2.1,0.2,-,0.2,-,-,-,-,-,-,-
433,6.2,0.1,-,5.1,1,0.1,-,0.1,-,-,-,-,-,-,-
434,4.5,0.1,0.1,3.3,1,0.1,-,0.1,-,-,-,-,-,-,-
435,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-
436,5,1,-,3,1,-,-,-,-,-,-,-,-,-,-
437,8,-,-,7,1,-,-,-,-,-,-,-,-,-,-
438,39,3.3,3.1,30.9,1.8,-,-,-,-,-,-,-,-,-,-
439,14.5,0.9,0.3,11.9,1.5,0.1,-,0.1,-,-,-,-,-,-,-
440,6,-,-,6,-,-,-,-,-,-,-,-,-,-,-
441,13.8,0.3,0.5,10.8,2.3,0.8,-,0.8,-,-,-,-,-,-,-
442,5.1,-,0.1,4.4,0.6,0.1,-,0.1,-,-,-,-,-,-,-
443,5.1,0.1,-,3.8,1.2,0.1,-,0.1,-,-,-,-,-,-,-
444,15.8,0.3,1,12.5,2,0.3,-,0.3,0.2,-,-,0.2,-,-,-
445,17.4,0.5,0.6,13.1,3.1,0.4,0.1,0.4,-,-,-,-,-,-,-
446,2,-,-,1,1,1,-,1,-,-,-,-,-,-,-
447,4,-,-,2.5,1.5,-,-,-,-,-,-,-,-,-,-
448,10.1,0.3,0.4,8.3,1,0.7,0.1,0.6,-,-,-,-,-,-,-
449,1,-,-,0.5,0.5,-,-,-,-,-,-,-,-,-,-
