,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
141,37.6,1.9,2,31.1,2.6,0.9,0.1,0.7,0.1,-,-,-,-,-,0.1
142,53.3,3,0.3,46.3,3.7,0.3,-,0.3,-,-,-,-,-,-,-
143,16.4,0.6,0.5,12,3.3,0.9,0.5,0.4,0.2,0.1,0.1,-,-,-,0.1
144,31.4,1.8,1.3,24.8,3.6,1.1,-,1,0.2,0.1,-,-,-,-,-
145,28.6,1,3,21,3.5,0.6,0.1,0.4,-,-,-,-,-,-,-
146,12.2,0.2,0.2,9.3,2.5,0.6,-,0.6,0.1,-,-,-,-,-,0.1
147,44.4,2.8,1.4,36.7,3.4,0.6,0.2,0.5,0.1,-,-,-,-,-,-
148,28,4.8,4.2,18.8,0.2,0.2,0.2,-,0.2,-,-,-,-,-,0.2
149,45,1.5,2.2,38.2,3,0.5,0.1,0.4,-,-,-,-,-,-,-
150,25.7,5.6,8.8,11.3,0.1,-,-,-,-,-,-,-,-,-,-
151,25.4,4.9,8.9,11.6,-,-,-,-,-,-,-,-,-,-,-
152,26.6,0.4,0.6,22.6,2.9,0.4,-,0.4,0.1,-,-,-,-,-,0.1
153,51.8,2.9,2.9,39.1,6.9,0.9,0.2,0.7,0.2,0.1,-,-,-,-,0.1
154,45.5,1.6,1,39.5,3.4,0.6,0.1,0.5,-,-,-,-,-,-,-
155,33.8,1.9,3.6,25.6,2.7,0.1,0.1,-,-,-,-,-,-,-,-
156,22,4,6,12,-,-,-,-,-,-,-,-,-,-,-
157,18.5,0.4,0.3,14,3.8,1.1,0.1,1,0.2,-,-,-,-,-,0.1
158,34.2,1,0.6,26.3,6.3,1.2,0.3,0.9,0.2,-,-,-,0.1,-,0.1
159,46.6,3.5,1.9,39.1,2.2,0.1,-,-,-,-,-,-,-,-,-
160,20.6,0.3,0.2,17.3,2.8,0.8,0.1,0.7,0.1,-,-,0.1,-,-,-
161,46.1,1.2,2.3,40.4,2.2,0.2,-,0.1,-,-,-,-,-,-,-
162,32.7,2.6,2.2,24.1,3.8,0.6,-,0.6,-,-,-,-,-,-,-
163,40.6,2.6,3.1,32.2,2.6,0.1,-,0.1,-,-,-,-,-,-,-
164,46.4,2.8,2.2,36.2,5.2,1.2,0.2,1,0.1,-,-,0.1,-,-,-
165,21.3,4.1,5.3,11.8,0.1,-,-,-,-,-,-,-,-,-,-
166,23,4.4,7.2,11.2,0.2,-,-,-,-,-,-,-,-,-,-
