,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
21,3.4,1.2,4.6,1.2,0.6,1.5,0.4,2.4,0.1,0.4,1,-,-,-,-
22,1.9,0.5,2.4,1.3,0.8,1.1,0.1,6.4,1.3,0.1,0.5,-,-,-,-
23,1.3,0.7,2,0.6,1.5,0.6,0.3,0.6,0.1,0.1,0.6,-,-,-,-
24,2.3,1.3,3.6,0.8,0.7,0.4,0.2,0.9,0.1,0.1,1,-,-,-,-
25,2.7,1.4,4.1,0.6,1.2,1.9,0.1,0.8,0.2,-,1.7,-,-,-,-
26,0.7,0.4,1.2,0.4,0.3,0.4,0.1,0.6,-,0.1,1,-,-,-,-
27,0.1,0.2,0.3,-,0.1,-,-,1.4,-,-,0.1,4.2,0.2,2.7,1.3
28,1.8,0.6,2.5,1.7,1.4,1.2,-,1.6,0.3,0.1,0.7,-,-,-,-
29,1.5,0.7,2.2,0.8,0.5,0.6,-,1.4,0.3,-,0.4,-,-,-,-
30,1.3,0.6,2,0.4,1.6,0.3,0.3,0.3,-,0.1,0.9,-,-,-,-
31,-,-,-,-,1,-,-,1.5,-,-,-,5.5,0.5,3.5,1.5
32,2,0.2,2.2,1.8,0.7,0.7,0.1,3.3,0.3,0.4,0.7,-,-,-,-
33,0.1,0.2,0.4,0.1,0.7,0.7,0.7,0.6,0.2,-,0.1,-,-,-,-
34,1.3,0.5,1.8,0.6,1.2,1.1,0.3,0.8,0.1,-,0.4,-,-,-,-
35,2.1,1,3.1,0.8,3,1.5,0.1,1,0.3,0.1,0.7,-,-,-,-
36,1.4,0.6,2,0.9,0.1,0.7,-,6.5,1.4,0.2,0.7,-,-,-,-
37,0.7,0.6,1.3,0.3,0.9,0.4,0.1,0.1,-,-,0.5,-,-,-,-
38,1.7,0.9,2.6,0.6,1.6,0.8,0.2,0.5,0.1,0.3,0.7,-,-,-,-
39,2.9,0.9,3.8,1.3,1.6,1.8,-,1.2,0.3,0.2,1,-,-,-,-
40,1.6,0.5,2.1,1.1,0.6,0.4,0.1,3,0.5,0.4,0.6,-,-,-,-
41,1.1,0.8,1.9,0.2,2.2,0.7,0.3,0.2,0.1,0.1,0.8,-,-,-,-
42,0.7,0.5,1.3,0.5,0.9,1.4,0.2,0.8,-,-,0.7,-,-,-,-
43,2.5,1.6,4,0.8,1.6,1.2,0.1,1.5,0.3,0.2,1.1,-,-,-,-
44,1.2,0.3,1.5,0.3,0.5,0.5,0.1,0.8,-,-,0.7,-,-,-,-
45,1.5,-,1.5,0.5,1.5,1,-,2.5,1,0.5,-,-,-,-,-
46,2.2,1.2,3.4,0.7,0.8,0.8,-,0.8,-,-,0.7,-,-,-,-
47,1,0.6,1.6,0.4,2.1,1,0.1,0.6,0.1,0.1,0.4,-,-,-,-
48,0.7,0.2,0.9,0.1,1,1,0.7,0.6,0.1,-,0.4,-,-,-,-
49,2,1,3,1.1,0.9,0.8,-,2.3,0.6,0.3,0.8,-,-,-,-
50,0.8,0.3,1.2,0.2,1,0.7,0.1,0.3,0.1,-,0.4,-,-,-,-
51,1.2,0.4,1.6,1.8,0.3,1,0.1,5.8,0.9,0.2,0.3,-,-,-,-
52,0.6,0.7,1.3,0.3,0.6,0.6,0.2,0.4,-,0.1,0.3,-,-,-,-
53,0.9,0.1,1,0.1,1.3,0.6,-,0.3,-,-,0.3,-,-,-,-
54,1.9,0.7,2.6,0.4,1.8,1,0.2,1.1,-,-,0.6,-,-,-,-
55,2.6,0.8,3.4,1,0.9,1.2,-,1.3,0.2,0.2,0.5,-,-,-,-
56,-,-,-,0.1,0.1,-,-,1.6,-,-,-,2.9,0.1,2.3,0.7
57,1.1,0.3,1.4,1,0.8,0.8,0.2,5.8,1.5,0.1,0.6,-,-,-,-
58,0.7,0.2,0.9,0.5,0.7,0.4,0.3,0.4,-,-,0.4,-,-,-,-
59,0.6,0.3,0.8,0.3,1.7,0.9,0.1,0.4,-,-,0.5,-,-,-,-
60,1.9,1.5,3.4,0.4,1.4,1.5,-,0.6,0.2,0.1,0.9,-,-,-,-
61,0.6,0.4,1,0.3,1.5,0.9,0.4,0.7,0.2,-,0.7,-,-,-,-
