,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
77,0.1,0.1,0.2,-,0.1,-,-,0.7,-,-,-,3,0.4,2.1,0.5
78,-,0.1,0.1,-,0.3,-,-,0.9,-,-,-,4.2,0.2,2.7,1.3
79,0.7,1.1,1.8,0.4,1.2,0.6,0.1,0.4,-,-,0.7,-,-,-,-
80,2,1.4,3.5,1.2,1,1.1,0.1,1.3,0.1,0.1,0.8,-,-,-,-
81,2.4,0.4,2.8,1.3,1.2,1.1,-,1.7,0.3,0.2,0.6,-,-,-,-
82,1.7,0.6,2.4,1.4,1.6,1.3,-,1.5,0.2,0.3,1,-,-,-,-
83,-,0.1,0.2,-,0.1,-,-,1.1,-,-,-,3.6,0.1,2,1.5
84,1.1,0.4,1.5,0.9,1.1,1,0.1,4.7,0.4,-,0.3,-,-,-,-
85,2.4,0.7,3.1,1.1,1.3,1.5,-,1.5,0.4,0.1,1.4,-,-,-,-
86,2,0.3,2.3,1.3,2.5,0.9,0.1,1.5,0.5,-,0.6,-,-,-,-
87,1.9,0.6,2.5,0.9,0.5,1.1,0.2,1.3,0.2,0.2,0.6,-,-,-,-
88,0.5,0.4,0.8,0.3,1,1.6,0.7,0.2,0.1,-,0.4,-,-,-,-
89,1.3,0.7,2,1,-,0.3,-,0.3,-,-,0.7,-,-,-,-
90,1.8,0.7,2.5,0.9,1.6,1.2,-,0.9,0.1,0.3,0.8,-,-,-,-
91,2.8,1.2,4,0.6,1.4,1.6,0.2,0.9,0.1,-,1.2,-,-,-,-
92,0.2,-,0.2,-,-,-,-,1.4,-,-,-,3.6,0.4,2.8,0.4
93,1,0.4,1.4,0.4,1.8,0.8,0.1,-,-,0.1,0.6,-,-,-,-
94,1.9,0.8,2.7,0.9,1.6,1.5,0.1,1.6,0.2,0.2,1.3,-,-,-,-
95,2,0.5,2.5,0.9,0.9,1.7,-,0.1,-,-,0.5,-,-,-,-
96,1.3,0.8,2.1,0.7,0.8,0.6,0.2,1.7,0.2,0.2,0.6,-,-,-,-
97,1.8,0.9,2.7,1.7,0.1,0.8,-,7,0.9,-,0.1,-,-,-,-
98,0.1,-,0.1,-,0.1,-,-,0.9,-,-,-,3.4,0.3,2.4,0.6
99,-,0.3,0.3,-,0.3,1.7,1.3,-,-,-,-,-,-,-,-
100,1.9,0.4,2.4,0.8,1.6,0.6,-,0.4,-,0.1,0.5,-,-,-,-
101,2,0.8,2.8,1.3,0.8,1,-,2.7,0.6,-,0.4,-,-,-,-
102,1.2,0.3,1.5,0.5,0.8,0.5,0.1,2.4,0.1,0.5,0.8,-,-,-,-
103,0.6,0.2,0.7,-,0.5,0.4,0.4,0.2,0.1,-,0.2,-,-,-,-
104,1.9,0.2,2.1,1.1,0.2,0.6,0.1,3.5,0.5,0.1,0.1,-,-,-,-
105,2.1,0.6,2.7,0.7,0.4,0.8,-,2.3,0.1,0.4,0.8,-,-,-,-
106,1.6,0.6,2.2,0.9,0.4,0.9,-,2.5,0.3,0.1,0.3,-,-,-,-
107,0.6,0.5,1.1,0.1,0.9,1.1,0.3,0.3,-,-,0.4,-,-,-,-
108,1.9,0.5,2.4,0.9,1.1,0.8,0.1,1.5,0.2,0.1,1.2,-,-,-,-
109,1.7,0.9,2.6,1,1.2,1.3,-,1.2,0.3,-,1,-,-,-,-
110,1.7,0.3,2,2.1,0.8,0.8,-,4.4,0.9,0.3,0.3,-,-,-,-
111,0.6,0.2,0.8,0.1,1.2,0.9,0.4,0.4,0.1,-,0.2,-,-,-,-
112,2.5,1.4,3.9,0.6,1.3,1.5,-,1.2,0.1,-,0.6,-,-,-,-
113,2.3,0.6,3,0.9,0.5,0.6,-,2.1,0.3,0.4,0.6,-,-,-,-
114,0.1,0.1,0.2,-,0.3,0.1,-,1,-,-,-,2.8,0.2,1.7,0.8
115,1.5,0.3,1.8,1.7,1.2,1,-,2.6,0.6,0.1,0.3,-,-,-,-
116,1.6,1,2.6,0.8,1,1.4,0.1,0.7,-,0.1,0.7,-,-,-,-
117,1.3,0.4,1.7,1.2,0.7,0.7,-,5.7,0.9,0.2,0.5,-,-,-,-
118,1.4,-,1.4,0.6,1,0.8,0.2,2.8,1.2,0.4,0.2,-,-,-,-
119,0.8,0.6,1.4,0.4,0.3,0.9,0.3,0.6,-,-,0.7,-,-,-,-
120,2,0.7,2.7,1.8,1.3,1.3,-,2.7,0.5,-,0.5,-,-,-,-
121,1.7,1,2.6,0.6,1.1,1.1,-,1.3,0.2,0.2,0.9,-,-,-,-
122,0.7,0.4,1.1,0.3,0.6,0.3,-,0.5,0.1,0.1,0.7,-,-,-,-
123,0.7,0.3,1,0.3,1.2,0.3,0.3,0.1,-,0.1,0.4,-,-,-,-
124,1.6,0.8,2.3,0.8,0.8,1.7,0.2,1.8,0.1,0.6,0.6,-,-,-,-
125,-,-,-,0.1,0.1,-,-,0.5,-,-,-,2.7,-,1.7,1
126,1.6,0.6,2.2,1.1,0.7,1.4,-,6,1.1,0.3,0.7,-,-,-,-
127,2.3,0.8,3.1,1.2,1.8,1.1,-,1.4,0.7,0.1,0.6,-,-,-,-
