,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
455,Mehdi Taremi,4(18),576,1,1,1,-,0.5,81.7,0.7,-,6.25
456,Marco Silvestri,5,450,-,-,-,-,-,59.1,0.2,-,6.25
457,Tomás Palacios,3(3),300,-,-,1,-,0.2,89,0.8,-,6.25
458,Caleb Ekuban,3(13),503,1,3,1,-,1.1,71.6,0.7,-,6.25
459,Nicola Zalewski,4(8),532,-,-,-,-,0.4,78,0.4,-,6.25
460,Enzo Ebosse,0(2),90,-,-,1,-,-,86.8,0.5,-,6.25
461,Nicolò Fagioli,5(12),565,-,-,4,-,0.7,91.1,0.1,-,6.24
462,Keita Baldé,6(2),465,1,-,1,-,1.3,90.5,0.4,-,6.24
463,Lameck Banda,6(8),574,-,1,1,-,1.1,84,0.1,-,6.24
464,Leonardo Pavoletti,1(24),408,2,-,4,-,0.7,58.8,2.2,1,6.24
465,Mateusz Kowalski,1,57,-,-,-,-,1,66.7,-,-,6.24
466,Drissa Camara,1(18),384,-,-,3,-,0.8,77.1,0.2,-,6.24
467,Antonio Sanabria,15(9),1254,2,1,2,-,0.8,79.1,0.9,-,6.24
468,Matteo Prati,8(3),558,-,-,1,-,0.3,72.4,-,-,6.24
469,Alieu Njie,0(16),381,1,-,1,-,0.6,69.9,0.8,-,6.24
470,Franco Carboni,3(5),224,-,-,2,-,0.1,71.6,0.3,-,6.24
471,Jonathan Ikoné,1(13),325,-,-,-,-,0.6,85.1,-,-,6.23
472,Alberto Costa,0(5),116,-,-,1,-,0.4,87.4,0.2,-,6.23
473,Danilo D'Ambrosio,12(8),1095,-,1,2,1,0.5,88.3,0.8,-,6.23
474,Danilo Veiga,2(7),271,-,-,-,-,0.3,66.2,0.3,-,6.23
475,Issa Doumbia,9(11),823,-,-,-,-,0.7,77.5,0.9,-,6.23
476,Marco Palestra,0(7),99,-,-,-,-,-,82.1,0.1,-,6.23
477,Mattia De Sciglio,8(9),765,1,-,-,1,0.3,77.7,0.4,-,6.22
478,Rui Modesto,2(15),397,-,-,1,-,0.1,71.2,0.4,-,6.22
479,Federico Barba,5(2),431,-,-,-,-,0.3,89.3,0.7,-,6.22
480,Jean Onana,1(6),185,-,-,-,-,0.1,82.1,0.7,-,6.22
481,Vasilije Adzic,0(3),24,-,-,-,-,0.3,75,0.7,-,6.22
482,Cyril Ngonge,1(14),186,-,-,2,-,0.8,85.3,0.3,-,6.22
483,Andy Pelmard,1(2),127,-,-,1,-,-,80.8,-,-,6.21
484,Oier Zarraga,6(12),643,-,-,-,-,0.2,87.8,0.2,-,6.21
485,John Yeboah,7(22),906,1,1,6,-,0.8,76.8,0.2,-,6.21
486,Daniel Maldini,0(6),118,-,-,-,-,0.5,58.1,1,-,6.21
487,Reda Belahyane,1(5),191,-,-,-,1,-,90.3,0.3,-,6.21
488,Jonas Rouhi,1(4),208,-,-,-,-,-,78.8,-,-,6.21
489,Nicolas Haas,2(8),281,-,-,1,-,0.1,82.4,0.3,-,6.21
490,Davide Faraoni,4(5),258,-,-,1,-,0.1,73.5,0.1,-,6.21
491,Mohamed Kaba,1(11),337,-,-,1,-,0.3,79.4,0.7,-,6.21
492,Mateusz Wieteska,1(4),182,-,-,1,-,0.2,86.3,0.4,-,6.20
493,Honest Ahanor,2(2),174,-,-,-,-,0.5,71.1,0.3,-,6.20
494,Nicolò Zaniolo,3(5),281,-,-,2,-,1,75,0.4,-,6.20
495,Antonio Candela,12(2),1013,-,1,2,-,0.4,77.9,1,-,6.20
496,Kevin Martins,1(8),178,-,1,1,-,-,73.3,0.2,-,6.20
497,Jeff Ekhator,6(16),728,1,1,1,-,0.5,71.2,0.7,-,6.20
498,Joël Schingtienne,8(4),781,-,-,2,-,-,86.3,0.3,-,6.20
499,Alphadjo Cissè,0(2),7,-,-,-,-,1,75,0.5,-,6.20
500,Cher Ndour,2(3),245,-,-,-,-,0.2,78.8,2.2,-,6.19
501,Tajon Buchanan,0(6),89,-,-,-,-,-,87.5,0.2,-,6.19
502,Junior Sambia,2(12),311,-,-,-,-,0.5,71.4,0.4,-,6.19
503,Lior Kassa,2(5),205,-,-,2,-,0.7,85,0.1,-,6.19
504,Daniele Baselli,1(1),23,-,-,-,-,-,88.9,-,-,6.19
505,Iker Bravo,4(22),620,2,1,3,-,0.5,83.9,0.4,-,6.19
506,Adrien Tameze,9(11),648,-,-,3,-,0.4,87.9,0.6,-,6.18
507,Giovanni Fabbian,8(20),951,3,1,2,-,0.7,74.6,0.6,-,6.18
508,Gianluca Lapadula,1(11),303,-,-,1,-,1.3,63.3,0.9,-,6.18
509,Lorenzo Anghelè,0(1),5,-,-,-,-,-,100,-,-,6.18
510,Mitchel Bakker,0(1),21,-,-,-,-,-,87.5,1,-,6.18
511,Jesper Karlsson,4(7),393,1,-,2,-,0.9,78.9,0.1,-,6.18
512,Ola Solbakken,7(11),676,-,-,1,-,0.2,70.4,0.5,-,6.18
513,Marco Sala,0(2),71,-,-,-,-,-,81.8,-,-,6.18
514,Federico Cassa,0(2),12,-,-,-,-,-,83.3,-,-,6.18
515,Marcus Pedersen,15(12),1355,-,-,3,-,0.3,77.8,0.2,-,6.17
516,Ante Rebic,7(19),736,1,-,3,1,0.5,65.7,1,-,6.17
517,Gianluca Scamacca,0(1),5,-,-,-,-,1,100,-,-,6.17
518,Kevin Zeroli,0(1),11,-,-,-,-,-,100,-,-,6.17
519,Tommaso Rubino,0(1),7,-,-,-,-,-,33.3,-,-,6.17
520,Riccardo Sottil,1(4),116,-,-,-,-,0.4,85.7,0.2,-,6.17
521,Ibrahim Sulemana,1(5),122,-,-,1,-,-,87.6,0.8,-,6.17
522,Gastón Pereiro,0(2),29,-,-,-,-,-,78.6,0.5,-,6.16
523,Kacper Urbanski,6(2),502,-,-,1,-,0.6,87.7,0.8,-,6.16
524,Kevin Bonifazi,0(3),62,-,-,-,-,-,88.1,0.3,-,6.16
525,Jesper Karlsson,3(4),297,1,-,1,-,0.9,76.7,0.3,-,6.16
526,Rémi Oudin,3(8),295,-,-,1,-,0.3,77.2,0.1,-,6.16
527,Brooke Norton-Cuffy,4(6),374,-,-,-,-,0.2,75.4,0.6,-,6.16
528,Filippo Melegoni,1(2),88,-,1,-,-,0.3,58.3,0.3,-,6.16
529,Emil Bohinen,1(2),165,-,-,-,-,0.7,80.2,1,-,6.15
530,Alessio Iovine,3(6),374,-,-,2,-,0.1,76.1,0.3,-,6.15
531,Mathis Lambourde,0(7),83,1,-,1,-,0.3,57.1,0.3,-,6.15
532,Warren Bondo,3(1),164,-,-,1,-,0.3,91.6,0.3,-,6.15
533,James Abankwah,0(6),85,-,-,1,-,0.2,78.3,0.3,-,6.15
534,Dani Silva,4(7),405,-,-,1,-,0.2,85.5,0.6,-,6.15
535,Francesco Camarda,1(8),155,-,-,-,-,0.6,86.7,0.6,-,6.15
536,Vanja Vlahovic,0(3),58,-,-,-,-,0.3,66.7,-,-,6.14
537,Daniel Oyegoke,0(5),99,-,-,1,-,0.2,81.5,-,-,6.14
538,Jacopo Bacci,0(3),29,-,-,-,-,-,60,0.3,-,6.14
539,Arvid Brorsson,1(2),105,-,-,-,-,-,84.8,1,-,6.14
