,TotPs,AccLB,InAccLB,AccSP,InAccSP
429,11,0.4,0.4,8.1,2
430,3.5,0.3,0.3,2.3,0.8
431,20.4,0.5,0.7,15.6,3.6
432,20.5,0.9,1.3,14.9,3.4
433,30.3,1.5,2.5,24,2.3
434,32.3,1.8,1.2,25.5,3.8
435,4,-,-,3,1
436,23,0.5,0.5,20.5,1.5
437,26.9,0.8,0.5,22.6,2.9
438,25,1.7,1.2,20.7,1.4
439,42.5,2.1,0.9,37.3,2.3
440,4.4,0.1,-,3.5,0.8
441,17.5,0.8,0.3,14.4,2
442,9.4,-,1.4,6.6,1.4
443,35.1,1.1,1.4,30.4,2.3
444,36.2,2.3,2.9,30,1
445,27.2,7.5,8.9,10.6,0.2
446,6.1,-,-,4.7,1.4
447,10.8,-,-,5.2,5.7
448,20.3,0.9,1.7,15.6,2.1
449,8.6,0.1,0.1,6.1,2.3
450,21.7,0.7,1.2,17.8,2
451,6.4,0.1,0.1,4.9,1.3
452,7.8,0.2,0.1,5.9,1.6
453,19.3,0.4,0.6,15.2,3.1
454,36.9,0.6,0.9,32,3.4
455,8,-,-,6.5,1.4
456,26.4,7.6,10.8,8,-
457,39.5,2,2,33.2,2.3
458,5.5,0.2,0.1,3.8,1.4
459,17.4,0.4,0.9,13.2,2.9
460,26.5,2,1,21,2.5
461,23.8,1.1,0.6,20.5,1.5
462,17.1,0.5,0.1,15,1.5
463,8.9,0.1,0.1,7.4,1.3
464,6.1,-,0.2,3.6,2.4
465,12,-,-,8,4
466,8.3,0.2,0.4,6.2,1.5
467,10.6,0.1,0.1,8.3,2.1
468,21.1,1.5,3.5,13.7,2.4
469,5.2,0.2,0.1,3.4,1.4
470,9.3,0.4,1.3,6.3,1.4
471,7.2,0.1,0.1,6,1
472,17.4,0.4,0.2,14.8,2
473,30.3,1.4,1.3,25.3,2.3
474,8.6,0.1,0.8,5.6,2.1
475,11.5,0.1,0.5,8.9,2.1
476,8,-,0.1,6.6,1.3
477,15.5,1.1,1.5,11,2
