,Name,Club,Age,Height,National,Positions
223,Yáser Asprilla,Girona,21 years old (19-11-2003),185cm,Colombia,"Attacking Midfielder (Centre, Left, Right), Forward"
224,Rui Silva,Sporting CP,31 years old (07-02-1994),191cm,Portugal,Goalkeeper
225,Adnan Januzaj,Las Palmas,30 years old (05-02-1995),186cm,Belgium,"Attacking Midfielder (Centre, Left, Right)"
226,Fermín López,Barcelona,21 years old (11-05-2003),174cm,Spain,"Attacking Midfielder (Centre, Left)"
227,Stefan Bajcetic,Las Palmas,20 years old (22-10-2004),185cm,Spain,Defensive Midfielder (C)
228,Renato Tapia,Leganes,29 years old (28-07-1995),185cm,Peru,"Defender (Centre), Defensive Midfielder (C)"
229,Dominik Greif,Mallorca,28 years old (06-04-1997),197cm,Slovakia,Goalkeeper
230,Hugo Duro,Valencia,25 years old (10-11-1999),177cm,Spain,"Attacking Midfielder (Left), Forward"
231,Javi Muñoz,Las Palmas,30 years old (28-02-1995),175cm,Spain,Midfielder (Centre)
232,Jon Moncayola,Osasuna,26 years old (13-05-1998),189cm,Spain,"Defender (Right), Midfielder (Centre, Right)"
233,Alex Král,Espanyol,26 years old (19-05-1998),187cm,Czech Republic,Midfielder (Centre)
234,Manu Morlanes,Mallorca,26 years old (12-01-1999),178cm,Spain,Defensive Midfielder (C)
235,Hamari Traoré,Real Sociedad,33 years old (27-01-1992),175cm,Mali,"Defender (Right), Midfielder (Right)"
236,Pep Chavarría,Rayo Vallecano,27 years old (10-04-1998),174cm,Spain,"Defender (Left), Midfielder (Left)"
237,Aitor Paredes,Athletic Club,25 years old (29-04-2000),186cm,Spain,Defender (Centre)
238,Iñaki Peña,Barcelona,26 years old (02-03-1999),184cm,Spain,Goalkeeper
239,Oliver McBurnie,Las Palmas,28 years old (04-06-1996),188cm,Scotland,"Attacking Midfielder (Centre, Left), Forward"
240,André Almeida,Valencia,24 years old (30-05-2000),176cm,Portugal,"Midfielder (Centre, Left), Forward"
241,Iván Villar,Celta Vigo,27 years old (09-07-1997),186cm,Spain,Goalkeeper
242,Copete,Mallorca,25 years old (10-10-1999),192cm,,Defender (Centre)
243,Alfonso Espino,Rayo Vallecano,33 years old (05-01-1992),172cm,Uruguay,Defender (Left)
244,Javi Rodríguez,Celta Vigo,21 years old (26-06-2003),178cm,,Defender (Centre)
245,Marc-André ter Stegen,Barcelona,32 years old (30-04-1992),187cm,Germany,Goalkeeper
246,Iker Almena,Al Qadasiya,20 years old (04-05-2004),177cm,Spain,Forward
247,Koke,Atletico Madrid,33 years old (08-01-1992),176cm,Spain,"Midfielder (Centre, Left, Right)"
248,Diego Conde,Villarreal,26 years old (28-10-1998),188cm,Spain,Goalkeeper
249,Mika Mármol,Las Palmas,23 years old (01-07-2001),181cm,Spain,"Defender (Centre, Left)"
250,Jorge de Frutos,Rayo Vallecano,28 years old (20-02-1997),173cm,Spain,"Attacking Midfielder (Left, Right)"
251,Óscar Rodríguez,Leganes,26 years old (28-06-1998),174cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
