,Name,Club,Age,Height,National,Positions
220,Seko Fofana,Rennes,29 years old (07-05-1995),183cm,Ivory Coast,Midfielder (Centre)
221,Anthony Lopes,Nantes,34 years old (01-10-1990),184cm,Portugal,Goalkeeper
222,Christopher Wooh,Rennes,23 years old (18-09-2001),191cm,Cameroon,Defender (Centre)
223,Luck Zogbé,Brest,20 years old (24-03-2005),178cm,Ivory Coast,Defender (Right)
224,Gabriel Gudmundsson,Lille,26 years old (29-04-1999),180cm,Sweden,"Defender (Centre, Left), Midfielder (Left, Right)"
225,Radoslaw Majecki,Monaco,25 years old (16-11-1999),193cm,Poland,Goalkeeper
226,Jordan James,Rennes,20 years old (02-07-2004),182cm,Wales,"Midfielder (Centre, Left)"
227,Carlens Arcus,Angers,28 years old (28-06-1996),180cm,Haiti,Defender (Right)
228,Tom Louchet,Nice,21 years old (04-05-2003),176cm,France,"Defender (Right), Midfielder (Right)"
229,Ngal'ayel Mukau,Lille,20 years old (03-11-2004),188cm,,Midfielder (Centre)
230,Albert Grønbæk,Southampton,23 years old (23-05-2001),176cm,Denmark,"Attacking Midfielder (Centre, Left)"
231,Johann Lepenant,Nantes,22 years old (22-10-2002),176cm,France,Midfielder (Centre)
232,Jérémie Boga,Nice,28 years old (03-01-1997),172cm,Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward"
233,Ulisses Garcia,Marseille,29 years old (11-01-1996),182cm,Switzerland,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)"
234,Ernest Nuamah,Lyon,21 years old (01-11-2003),178cm,,"Attacking Midfielder (Left, Right)"
235,Mikayil Faye,Rennes,20 years old (14-07-2004),186cm,,Defender (Centre)
236,Deiver Machado,Lens,31 years old (02-09-1993),180cm,Colombia,"Defender (Left), Midfielder (Left)"
237,Marco Bizot,Brest,34 years old (10-03-1991),193cm,Netherlands,Goalkeeper
238,Saïd Benrahma,Lyon,29 years old (10-08-1995),172cm,Algeria,"Attacking Midfielder (Centre, Left, Right)"
239,Hans Hateboer,Rennes,31 years old (09-01-1994),185cm,Netherlands,"Defender (Centre, Right), Midfielder (Right)"
240,Randal Kolo Muani,Juventus,26 years old (05-12-1998),187cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
241,Zakaria Aboukhlal,Toulouse,25 years old (18-02-2000),179cm,Morocco,"Attacking Midfielder (Centre, Left, Right), Forward"
242,Lucas Hernández,Paris Saint-Germain,29 years old (14-02-1996),184cm,France,"Defender (Centre, Left)"
