Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Lukasz Fabianski,12(1),1071,-,-,2,-,-,63.3,0.2,-,6.67
Tino Livramento,26(5),2302,-,1,1,-,0.1,86.2,0.6,-,6.66
James Milner,3,172,-,-,1,-,0.7,80,-,-,6.66
James Ward-Prowse,7(2),672,-,1,2,-,0.4,91.6,0.6,-,6.66
Aaron Ramsdale,24,2160,-,-,2,-,-,62,0.2,3,6.66
Conor Townsend,3(3),335,-,1,1,-,0.2,68.1,1,-,6.66
Cameron Burgess,13(1),1215,-,1,-,-,0.6,81.1,2.7,-,6.65
Sasa Lukic,24(1),1976,-,2,12,-,0.6,90.5,0.7,1,6.65
Kieran Trippier,11(10),1027,-,1,1,-,0.1,84.4,0.8,-,6.65
James Garner,11(4),1055,-,1,3,-,0.5,77.4,0.7,-,6.65
Ryan Yates,17(12),1739,2,1,8,-,1.1,82.8,1.6,-,6.65
Kevin Danso,4,348,-,-,-,-,1,90.9,1.8,-,6.65
Amadou Onana,16(4),1262,2,-,4,-,0.8,88.7,1.2,1,6.64
Adama Traoré,16(14),1515,2,5,2,-,1.2,81.1,0.8,1,6.64
Bernd Leno,32,2880,-,1,4,-,-,78.8,0.3,3,6.64
Adam Wharton,13(4),1128,-,1,2,-,0.6,79.5,0.4,-,6.63
Reece James,9(4),768,1,-,1,-,0.5,89.3,1.5,-,6.63
Michael Keane,9(1),812,2,-,4,-,0.8,83.2,1.9,1,6.63
Ederson,22,1961,-,4,3,-,-,86.6,0.2,1,6.63
Emiliano Martínez,31,2702,-,-,4,-,-,78.7,0.3,1,6.63
Matheus França,0(2),24,1,-,-,-,1.5,66.7,-,-,6.63
Kostas Tsimikas,6(9),573,-,1,2,-,0.2,91.5,0.3,1,6.62
Ilkay Gündogan,20(8),1790,-,4,1,-,0.8,92.6,0.4,-,6.62
Matheus Nunes,14(7),1223,-,4,3,-,0.2,88.2,0.6,1,6.62
