Name,Club,Age,Height,National,Positions
Jefferson Lerma,Crystal Palace,30 years old (25-10-1994),179cm,Colombia,"Defender (Centre, Right), Defensive Midfielder (C)"
Andy Robertson,Liverpool,31 years old (11-03-1994),178cm,Scotland,"Defender (Left), Midfielder (Left)"
Robin Olsen,Aston Villa,35 years old (08-01-1990),198cm,Sweden,Goalkeeper
Yasin Ayari,Brighton,21 years old (06-10-2003),172cm,Sweden,Midfielder (Centre)
Jonny Evans,Manchester United,37 years old (03-01-1988),188cm,N. Ireland,"Defender (Centre, Left)"
Konstantinos Mavropanos,West Ham,27 years old (11-12-1997),194cm,Greece,"Defender (Centre, Right)"
Emerson,West Ham,30 years old (03-08-1994),176cm,Italy,"Defender (Left), Midfielder (Left)"
André Onana,Manchester United,29 years old (02-04-1996),190cm,Cameroon,Goalkeeper
Gabriel Jesus,Arsenal,28 years old (03-04-1997),175cm,Brazil,"Attacking Midfielder (Left, Right), Forward"
Lucas Paquetá,West Ham,27 years old (27-08-1997),180cm,Brazil,"Midfielder (Centre, Left, Right), Forward"
Curtis Jones,Liverpool,24 years old (30-01-2001),185cm,England,"Midfielder (Centre, Left)"
Joe Gomez,Liverpool,27 years old (23-05-1997),188cm,England,"Defender (Centre, Left, Right)"
Rodrigo Muniz,Fulham,23 years old (04-05-2001),178cm,Brazil,Forward
Ben White,Arsenal,27 years old (08-10-1997),186cm,England,"Defender (Centre, Right), Defensive Midfielder (C)"
Robert Sánchez,Chelsea,27 years old (18-11-1997),197cm,Spain,Goalkeeper
Emile Smith Rowe,Fulham,24 years old (28-07-2000),182cm,England,"Attacking Midfielder (Centre, Left)"
Ashley Young,Everton,39 years old (09-07-1985),175cm,England,"Defender (Left, Right), Midfielder (Left, Right)"
Pape Sarr,Tottenham,22 years old (14-09-2002),185cm,Senegal,Midfielder (Centre)
Toby Collyer,Manchester United,21 years old (03-01-2004),180cm,England,Midfielder
Jacob Greaves,Ipswich,24 years old (12-09-2000),185cm,England,"Defender (Centre, Left)"
Jamie Vardy,Leicester,38 years old (11-01-1987),179cm,England,"Attacking Midfielder (Left), Forward"
Rodri,Manchester City,28 years old (22-06-1996),190cm,Spain,"Defender (Centre), Defensive Midfielder (C)"
André,Wolves,23 years old (16-07-2001),176cm,Brazil,Defensive Midfielder (C)
Ross Barkley,Aston Villa,31 years old (05-12-1993),189cm,England,"Midfielder (Centre, Left, Right)"
Trevoh Chalobah,Chelsea,25 years old (05-07-1999),190cm,England,"Defender (Centre, Right), Defensive Midfielder (C)"
James Justin,Leicester,27 years old (23-02-1998),183cm,England,"Defender (Centre, Left, Right), Midfielder (Left, Right)"
Leif Davis,Ipswich,25 years old (31-12-1999),182cm,England,"Defender (Left), Midfielder (Left)"
Richarlison,Tottenham,27 years old (10-05-1997),184cm,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward"
Victor Kristiansen,Leicester,22 years old (16-12-2002),181cm,Denmark,"Defender (Left), Midfielder (Left)"
Ryan Sessegnon,Fulham,24 years old (18-05-2000),178cm,England,"Defender (Left), Midfielder (Left, Right)"
Álex Moreno,Nottingham Forest,31 years old (08-06-1993),179cm,Spain,"Defender (Left), Midfielder (Left)"
Mads Hermansen,Leicester,24 years old (11-07-2000),187cm,Denmark,Goalkeeper
Carlos Alcaraz,Everton,22 years old (30-11-2002),176cm,,"Midfielder (Centre, Left), Forward"
Fraser Forster,Tottenham,37 years old (17-03-1988),201cm,England,Goalkeeper
Darwin Núñez,Liverpool,25 years old (24-06-1999),187cm,Uruguay,"Attacking Midfielder (Centre, Left), Forward"
João Félix,AC Milan,25 years old (10-11-1999),181cm,Portugal,"Attacking Midfielder (Centre, Left), Forward"
Vitaly Janelt,Brentford,26 years old (10-05-1998),184cm,Germany,"Defender (Left), Defensive Midfielder (C)"
