,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
135,0.7,-,-,-,-,0.7,0.3,-,0.5,0.4,0.3,0.1,0.5,0.1,4.6,2.7,1.9
136,0.5,0.1,-,0.1,-,0.5,-,0.1,0.4,0.3,0.3,0.1,0.5,0.2,4.2,2.3,1.8
137,0.5,-,-,-,-,0.5,0.4,-,0.2,2.1,1,1.1,1.1,0.8,1.3,0.8,0.5
138,1.7,0.1,-,0.1,-,1.7,0.4,0.1,1.2,2.2,1.5,0.8,1.4,1.2,2.6,0.8,1.8
139,0.8,-,-,-,-,0.8,0.2,-,0.5,1.9,0.9,1,1.1,1.1,1.5,0.6,0.9
140,0.3,-,-,-,-,0.3,0.1,-,0.2,0.4,-,0.4,0.5,0.1,2.2,1.4,0.8
141,0.4,-,-,-,-,0.4,0.3,0.1,-,1,0.5,0.5,0.9,0.3,2,1.4,0.6
142,1.1,-,-,-,-,1.1,0.6,-,0.6,0.4,0.2,0.2,0.3,0.2,2.4,1.9,0.6
143,1.8,0.3,0.1,0.1,0.1,1.8,0.5,0.1,1.1,3.2,1.8,1.4,2.3,0.9,2,0.8,1.2
144,0.6,-,-,-,-,0.6,0.3,-,0.3,1.4,0.7,0.7,1.3,1,0.8,0.3,0.5
145,0.7,0.1,-,0.1,-,0.7,0.3,0.1,0.3,1.4,0.8,0.6,1.2,0.4,1.6,0.7,0.9
146,0.7,-,-,-,-,0.7,-,0.3,0.4,0.3,0.1,0.1,0.1,0.3,4.3,3,1.3
147,1.3,0.2,-,0.1,-,1.3,0.5,-,0.8,1.9,1.3,0.6,2.2,1,5,3.2,1.8
148,0.5,0.2,0.1,0.1,0.1,0.5,0.2,0.1,0.3,0.7,0.3,0.4,0.6,0.3,2.2,1.2,1
149,0.5,0.1,-,0.1,-,0.5,0.3,-,0.2,0.7,0.2,0.5,0.8,0.7,1.1,0.6,0.5
150,0.8,0.2,-,0.2,-,0.8,0.1,-,0.6,1.7,0.9,0.7,1.5,0.7,0.8,0.3,0.4
151,0.2,-,-,-,-,0.2,-,0.1,-,0.8,0.4,0.4,0.5,0.4,2.1,1,1.1
152,0.9,0.1,-,0.1,-,0.9,0.3,-,0.6,1.7,1.2,0.4,1,0.8,0.9,0.3,0.5
153,0.3,-,-,-,-,0.3,-,-,0.3,0.6,0.2,0.4,0.5,0.5,1.8,1.1,0.7
154,-,-,-,-,-,-,-,-,-,0.3,0.1,0.1,0.4,0.1,1.4,1,0.4
155,1.6,0.2,0.1,0.1,-,1.6,0.4,0.2,1,2,0.8,1.2,1.6,1.2,3.3,1.3,2
156,1,0.1,-,-,-,1,0.4,-,0.7,0.8,0.5,0.3,1.2,0.6,2.6,1.3,1.3
157,0.6,0.1,-,0.1,-,0.6,-,0.1,0.4,0.7,0.2,0.4,0.2,0.2,3.6,1.4,2.1
158,2.2,0.3,-,0.2,-,2.2,0.4,0.1,1.7,2.6,1.6,1,2.8,1.8,4,1.7,2.4
159,0.4,-,-,-,-,0.4,0.1,-,0.2,0.7,0.4,0.3,0.9,0.2,1.5,0.6,0.9
