,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
532,0.3,-,-,-,-,0.3,0.3,-,-,0.3,-,0.3,0.5,0.3,0.5,0.3,0.3
533,0.2,-,-,-,-,0.2,-,-,0.2,-,-,-,0.2,0.5,0.7,0.3,0.3
534,0.2,-,-,-,-,0.2,0.2,-,-,0.1,-,0.1,0.4,0.5,1,0.6,0.4
535,0.6,-,-,-,-,0.6,0.1,-,0.4,0.8,0.6,0.2,0.7,0.3,1.3,0.6,0.8
536,0.3,-,-,-,-,0.3,-,-,0.3,0.7,0.7,-,2,0.3,1,-,1
537,0.2,-,-,-,-,0.2,0.2,-,-,0.6,0.2,0.4,0.4,0.4,0.4,-,0.4
538,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,1,0.7
540,0.2,-,-,-,-,0.2,0.2,-,-,0.2,-,0.2,-,0.4,-,-,-
541,0.8,-,-,-,-,0.8,0.2,-,0.7,0.2,0.2,-,1.2,0.5,1,0.7,0.3
542,0.9,-,-,-,-,0.9,0.1,-,0.7,0.9,0.6,0.3,1.7,0.6,4.4,1.4,3
543,0.9,-,-,-,-,0.9,0.2,-,0.6,1.3,0.9,0.4,0.9,0.9,0.5,0.2,0.3
544,0.4,0.1,0.1,-,-,0.4,0.1,0.1,0.1,-,-,-,0.1,0.2,1,0.2,0.8
545,-,-,-,-,-,-,-,-,-,0.7,0.6,0.1,0.2,-,-,-,-
546,0.5,-,-,-,-,0.5,0.2,-,0.3,0.5,0.3,0.2,1.2,0.8,1.2,0.1,1.1
547,0.2,-,-,-,-,0.2,-,-,0.2,0.6,0.4,0.2,1,0.2,0.8,0.4,0.4
548,1,-,-,-,-,1,0.3,-,0.6,0.4,0.2,0.2,1.1,0.3,1.3,0.2,1.1
549,0.5,0.1,-,-,-,0.5,0.1,0.1,0.3,-,-,-,0.6,0.3,2.6,0.8,1.8
550,0.2,-,-,-,-,0.2,0.1,-,0.1,0.2,0.1,0.1,0.2,0.4,-,-,-
551,1,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-
552,0.4,-,-,-,-,0.4,0.4,-,-,0.7,0.3,0.4,0.6,0.3,0.1,-,0.1
553,0.3,-,-,-,-,0.3,0.3,-,-,1.3,0.7,0.7,0.3,0.3,0.3,0.3,-
554,-,-,-,-,-,-,-,-,-,0.3,0.1,0.1,0.5,0.5,1.4,0.6,0.8
555,0.5,-,-,-,-,0.5,0.1,-,0.4,0.4,0.2,0.2,0.7,0.4,1.5,0.3,1.2
556,0.5,-,-,-,-,0.5,-,-,0.5,-,-,-,-,-,-,-,-
557,0.3,-,-,-,-,0.3,0.2,-,0.1,1.3,0.9,0.5,0.5,0.6,0.6,0.1,0.5
558,0.1,-,-,-,-,0.1,-,-,0.1,0.1,0.1,-,0.9,0.1,0.9,0.3,0.6
559,0.3,-,-,-,-,0.3,0.1,-,0.1,0.9,0.8,0.1,0.1,0.1,0.3,-,0.3
560,0.5,-,-,-,-,0.5,-,0.1,0.4,0.9,0.7,0.2,1,0.4,2.8,1.1,1.8
561,0.1,-,-,-,-,0.1,-,-,0.1,0.1,-,0.1,0.4,0.1,2.3,0.8,1.5
562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
563,0.3,-,-,-,-,0.3,0.3,-,-,-,-,-,0.3,-,1,0.7,0.3
564,0.3,-,-,-,-,0.3,0.3,-,-,0.3,-,0.3,1.3,1.3,0.3,-,0.3
565,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
566,0.2,-,-,-,-,0.2,0.1,-,0.1,0.1,-,0.1,0.6,0.1,1,0.3,0.7
567,0.5,-,-,-,-,0.5,0.3,-,0.2,0.2,0.2,-,0.2,0.2,0.2,-,0.2
568,0.4,-,-,-,-,0.4,0.1,-,0.3,0.1,0.1,-,0.6,0.4,2.5,1.1,1.4
569,0.3,-,-,-,-,0.3,0.3,-,-,-,-,-,1,-,0.7,0.7,-
570,0.5,-,-,-,-,0.5,0.3,-,0.3,0.5,0.3,0.3,1.8,0.3,0.5,0.3,0.3
571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
572,0.5,-,-,-,-,0.5,0.3,-,0.2,0.2,-,0.2,0.2,0.3,1,0.5,0.5
573,0.6,-,-,-,-,0.6,-,0.1,0.4,1.1,0.9,0.3,2.6,1.1,4,2.3,1.7
574,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,-
575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
576,-,-,-,-,-,-,-,-,-,0.5,0.5,-,0.5,-,0.5,-,0.5
577,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
578,0.4,-,-,-,-,0.4,-,-,0.4,0.8,0.4,0.4,1,0.8,-,-,-
579,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
580,-,-,-,-,-,-,-,-,-,0.3,0.1,0.1,0.1,0.1,0.4,0.1,0.3
581,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
