,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
134,0.5,-,-,-,-,0.5,-,0.2,0.3,0.3,0.2,0.2,0.5,0.2,2,1.1,0.9
135,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,1,1
136,1.5,0.3,0.1,0.2,-,1.5,0.4,0.2,0.8,1,0.5,0.5,1.8,0.9,3.4,1.7,1.7
137,1.3,0.1,-,0.1,0.1,1.3,0.5,-,0.8,4.5,2.9,1.6,1.6,0.9,0.5,0.2,0.4
138,0.1,-,-,-,-,0.1,0.1,-,0.1,0.6,0.3,0.2,0.8,0.8,1.9,0.8,1.1
139,0.7,0.1,-,0.1,-,0.7,0.1,-,0.6,2.3,1.3,1,1.8,0.6,1.2,0.4,0.8
140,1,0.1,-,-,0.1,1,0.5,-,0.4,2.4,1.2,1.2,1.1,0.6,1,0.5,0.6
141,0.9,0.1,0.1,-,0.1,0.9,0.4,0.1,0.4,0.4,0.1,0.3,0.6,0.5,1.3,0.4,0.9
142,0.7,-,-,-,-,0.7,0.7,-,-,1,0.3,0.7,0.7,0.7,2.3,0.3,2
143,0.9,0.1,0.1,0.1,-,0.9,0.3,0.1,0.5,1,0.5,0.5,1.4,1.3,1.9,0.8,1.1
144,0.4,-,-,-,-,0.4,0.3,-,0.1,0.9,0.3,0.6,0.8,0.7,0.7,0.2,0.4
145,0.7,-,-,-,-,0.7,0.6,-,0.1,1.3,0.7,0.6,1.2,0.5,1.4,0.4,1
146,1.7,0.4,-,0.3,0.1,1.7,0.5,0.3,0.9,0.7,0.3,0.4,1,0.3,0.5,0.2,0.3
147,0.4,0.1,-,0.1,-,0.4,0.2,-,0.2,0.3,0.1,0.2,0.5,0.4,1,0.7,0.3
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
149,0.6,-,-,-,-,0.6,0.6,-,-,0.2,0.1,0.2,0.7,0.1,2.5,1.5,1
150,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.3,0.3,-
151,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.4,-
152,0.7,0.1,-,0.1,-,0.7,0.4,-,0.3,1.4,0.9,0.6,0.8,0.8,1,0.3,0.7
153,1,0.1,-,0.1,-,1,0.6,-,0.3,1.9,1.1,0.8,1.2,0.4,0.7,0.3,0.3
154,0.1,-,-,-,-,0.1,0.1,-,-,0.9,0.3,0.6,0.8,0.4,0.6,0.2,0.4
155,0.3,-,-,-,-,0.3,-,0.1,0.2,0.3,0.1,0.3,0.3,0.4,3.7,2.6,1.1
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
157,0.8,0.1,-,0.1,-,0.8,-,0.1,0.7,1.6,0.9,0.6,1.6,0.7,0.8,0.4,0.4
158,1,-,-,-,-,1,0.6,-,0.4,2,1.1,0.9,1.4,0.7,1.3,0.8,0.6
159,0.2,-,-,-,-,0.2,-,-,0.2,0.1,-,0.1,0.2,0.1,2.7,1.3,1.3
160,0.6,0.3,-,0.1,0.2,0.6,0.5,-,0.1,0.6,0.4,0.2,0.5,0.6,0.7,0.1,0.6
161,0.3,-,-,-,-,0.3,-,0.1,0.2,0.2,0.1,0.1,0.5,0.3,3.5,2,1.5
162,1.5,0.1,-,-,0.1,1.5,0.6,0.1,0.8,1,0.7,0.3,1.1,0.6,1.8,1,0.8
163,0.4,0.1,-,0.1,-,0.4,-,-,0.3,0.3,0.1,0.2,0.4,-,2.8,1.5,1.3
164,0.5,0.1,-,-,0.1,0.5,0.3,-,0.1,1,0.6,0.3,0.9,0.7,0.4,0.1,0.2
165,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.1,0.1,-
166,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.5,0.4,0.1
167,0.4,0.1,-,-,0.1,0.4,0.2,-,0.3,0.2,0.1,0.1,0.5,-,1.9,0.9,1
168,0.9,0.1,-,0.1,-,0.9,0.4,-,0.5,3.7,1.7,2,1.5,1,0.6,0.2,0.4
169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
171,0.6,-,-,-,-,0.6,0.1,-,0.5,1.4,0.8,0.6,0.8,0.7,0.8,0.2,0.7
172,0.3,0.1,-,-,-,0.3,-,-,0.3,0.4,0.2,0.2,0.6,0.3,2,0.8,1.2
173,0.5,-,-,-,-,0.5,0.3,-,0.2,2.6,1.7,1,1.5,0.8,0.8,0.3,0.5
174,1.2,0.1,-,-,-,1.2,0.5,-,0.7,1.1,0.7,0.5,1.1,1,1,0.3,0.7
175,1.5,0.1,-,0.1,-,1.5,0.4,-,1.2,2.8,1.8,1,3.5,2.1,6.8,2.8,4
